,title,content,date
26,아이폰13 노치는 '4분의 3' 수준으로 축소,"아이폰13이 유력하다. 새 아이폰은 어떤 변화가 있을지 궁금해지는 시기다. 특히, 아이폰에 적용된 노치 디자인이 달라지기를 바라는 사용자가 많다. 노치는 'M자형 탈모'라는 조롱받으면서도 아이폰의 표준...",2021.07.26.
27,"9월 애플 이벤트에서 출시될 것으로 예상하는 아이폰13, 아이패드미니6, 애플워치7",돌아온 9월의 아이폰: 아이폰 13 전세계 수많은 사람들이 기대하고 있는 제품이기도 하죠. 작년에는 부품... 이번 애플워치는 디자인을 아이폰 12 및 13 시리즈 그리고 최근 애플에서 밀고있는 각진 디자인을 적용해서 위...,2021.08.17.
28,"아이폰13 사전예약 유의점. 미니, Pro, 프로맥스 가격과 기능은?",2020년 출시한 아이폰 12는 1억 대 이상 판매되었습니다. 올가을은 갤럭시 Z 플립 3를 내세운 폴더블폰의 흥행과 아이폰 13의 격돌이 예상됩니다. 애플은 아이폰 13에 탑재할 A15 주문량을 1억 개 수준으로 늘린 것으로...,2일 전
29,아이폰13 출시는 언제? 아이폰13 출시일과 공개된 사항과 가격!,"이번 가을, 애플 기기 유저분들이 기다리는 신형 아이폰 공개가 됩니다! 이번 시리즈인 아이폰13의... 10,499 13,299 아이폰13 PRO MAX X 9,299 X 11,299 14,099 이제 정말 코앞으로 다가온 아이폰13 출시일! 애플의 이번 공개...",4시간 전
30,아이폰13 c타입 과연 어떻게 될 것인가,"개인적으로 아이폰13 c타입 기대했는데 역시나 아쉽네요.. 추가적으로 가격까지 살펴보자면 아이폰12와 비슷할것으로 예상하고 있지만 기본 90만원 중반이 가장 저렴한 가격이고, 이 가격도 미니 기준이라 기본형...",2021.08.20.
31,"아이폰13 실물 목업 입수, 아이폰13 루머 간단 정리 출시일 스펙 등",13프로와 13프로맥스는 플래그쉽 모델 답게 더욱 더 성능과 기능이 강화되어 나올것 같습니다. 먼저 #아이폰13미니 목업부터 천천히 살펴보시겠습니다. 아이폰13미니는 아이폰12미니와 동일하게 5.4인치 스크린을 가지고...,2021.08.20.
32,아이폰13 출시일 9월달 확정받는 분위기!,"들어가서 사용해본다면 알겠지만, 평균보다 높은 메리트를 지니고있는 상황이라 보는것도 가능하니, 어느정도 참고해 두시는것도 좋을듯합니다. 아이폰13 출시일 대신 아이폰11 보러가기 <<",6일 전
33,"애플 아이폰13, 애플워치7, 에어팟3 까지! 하반기 신제품 출시일은?","특히 올해 하반기에는 꽤 신형 아이폰, 애플워치와 더불어 에어팟2세대를 잇는 에어팟 3세대 그리고 M1... 애플이 9월 개최하는 첫 번째 행사에서는 아이폰13, 애플워치7, 에어팟3를 공개할 예정이며, 두 번째 행사에서는...",2021.08.17.
34,"아이폰 13 pro 출시일, 9월엔 나온대","[IT] 아이폰 13 pro 출시일, 9월엔 나온대 글 · 사진 / 폭스토리(foxtory.blog.me) 얼마 전에 경쟁사인 삼성 제품들은... 최근 1, 2년 사이에 나온 아이폰 시리즈는 솔직히 조금 실망스러웠다. 뭔가 계속 답보상태라고 해야 하나....",2021.08.21.
35,"아이폰13 PRO 프로 맥스 출시일, 가격, 디자인, 스펙 변화 알아보기","그외 아이폰 맥스프로의 경우 눈에 띄게 더 큰 렌즈가 장착이 된것도 특징 입니다. 이는 저조도에서 사진을 촬영하기 위해, 더 많은 빛을 받기 위한 부분으로 보여 집니다. 아이폰 13 미니 아이폰 13 아이폰 13...",2021.08.16.
36,아이폰13 가을에 만날 신형 스마트폰 최신 스펙 정보,그 외에 아이폰13 관련 루머로 '무포트 아이폰' 이야기가 있습니다. 그냥 포트를 다 없애고 깔끔하게 만든다는 뜻인데... 맥세이프 충전을 출시하면서 포트프리 모델 이야기가 더 많이 나오고 있다죠!! 이건 그냥...,4일 전
37,아이폰13 출시 정보,현재 아이폰 11pro 모델을 사용하고 있는데 아이폰 13 출시 루머가 살살 나오고 있다. 뭐가 어떻게 개선되서 나오는것일지 궁금해서 조사를 해보았다. 원문: https://www.macrumors.com/roundup/iphone-13/ 본 포스팅은...,5일 전
38,"아이폰13 프로 Pro 맥스 핑크, 눈길을 사로잡다",많은 사람들은 이번에 공개될 신형 아이폰을 편의상 '아이폰 13'으로 부르고 있지만 서양에서는 13이라는 숫자를 불운한 숫자로 여기기 때문에 '아이폰 12S'가 될 가능성도 있습니다. 그럼 이번에 공개될 iPhone 13...,7일 전
39,아이폰13 디자인 현재까지 예상되고 있는 정보들,아이폰13 디자인 줄어든 노치 아이폰X 기기부터 적용된 노치는 꾸준히 비판의 대상이 되어 왔는데요. 애플만의 얼굴 인식 기술인 '페이스ID'를 삽입하기 위해 많은 비난에도 노치 디자인을 꾸준히 고수해오고 있습니다....,2일 전
40,"하반기 IT 신제품 관련 핫이슈!(갤럭시 언팩, 갤럭시Z폴드3, 갤럭시Z플립3, 갤럭시 버즈2, 아이폰13 등)","아이폰 13 작년 10월에 출시된 아이폰 12 작년 출시된 아이폰 12는 특수한 상황이었던 만큼 10월에 출시되긴 했지만, 그 외의 아이폰 시리즈들은 기본적으로 매년 9월에 출시되었는데요! 올해는 연기 없이 9월 내에...",2021.07.30.
41,아이폰 13 출시일 9월예상 가격 과 색상은?,아이폰 11에 A13 Bionic이 탑재되고 아이폰 12에 A14 Bionic이 탑재된 것처럼 아이폰 13에는 새로운 A15 Bionic이 탑재될 것입니다. 더 큰 배터리 및 더 빠른 충전 한 가지 환영할 만한 변화는 차세대 아이폰 모델에...,2021.08.04.
42,아이폰 13 & 애플워치 7,"삼성 플립3 사전예약 해놓고 기다리고 있는데, 예약 다음날인가 아이폰 13에 대한 디자인 유출이라면서... - 어차피 외국나가면 아이폰을 구입하긴 할거지만 그래도 뭔가 더 끌리는건 뭥미~~~~ 외국에서 13이란 숫자의 의미가...",2021.08.20.
43,아이폰13 자급제 알뜰폰 요금제는 kt M 모바일이 가성비 갑~!,"애플 아이폰13의 출시가 다가오면서 핸드폰 기변을 많이 고려하고 있고 저 또한 이번에 출시하는 아이폰13으로 기변할까 생각하고 있어요. 애플 아이폰13은 9월 초에 공개가 되고, 9월 중순에 출시가 될 것이라고 하는데...",4일 전
44,폴더블에 뺏긴 애플팬 찾으러 온다…'아이폰13' 어떻게 나오나[지디넷코리아 2021.08.31],"(사진=ConceptsiPhone) '아이폰13' 명칭은 숫자 13이 일부 국가에서 불길하게 여겨져 '아이폰12s'가 될 것이라는 전망도 있었지만, 최근 유출된 포장 이미지에 따르면 명칭은 아이폰13이 될 것으로 예상된다. 아이폰13...",4시간 전
45,"[루머] 아이폰13, 저궤도(LEO) 위성통신을 지원하여 사용자가 기지국 신호없이 전화와 문자 가능",아이폰12는 5G 출시 덕분에 애플에게 엄청난 판매 목표를 만들수 있게 했습니다. 애플은 2021년 아이폰13에 또다른 새로운 무선기술을 추가해 모멘텀을 유지하려는 것으로 보인다고 밍치쿠오(Ming-Chi Kuo)...,어제
46,⭐️ 애플 아이폰13 출시일 언제? 출시 임박 최신 iPhone 이렇게 나온다 ‘아이폰12와 디자인 똑같은데...,출시되는 아이폰13은 전작 아이폰12랑 똑같이 생겼는데 역대 최고가란 소문이 출시전부터 파다하다. 애플 신작 스마트폰 ‘iPhone13’ 시리즈의 출시가 약 20일여 앞으로 다가오면서 구체적인 최신폰에 대한 스펙이...,18시간 전
47,"아이폰 13의 위성통신기능 적용 예측과 아이폰 13 프로, 프로맥스의 1TB 저장 메모리 적용 예측 소식",아이폰 13 예상 @ gizchian 발췌 하지만 아이폰 12 대비 크게 변경하는 부분이 없는 외부 디자인 대비 가격만 크게 올라가는 것을 볼 수도 있겠다. 오직 아이폰 13의 기본과 미니 모델에서 카메라 배치만 달라진다고...,17시간 전
48,9월 출시 애플 아이폰 13 플래그십 최상위 모델 맥스? 프로? 가격!,"(from hannie kim fb) 아이폰 다음 모델(13) 최상위 버전(아마 맥스?) 가격이 한화로 250만원 정도 한다는... 맥스는 크고 프로는 써왔단 말이죠 https://www.facebook.com/hannie.kim.3 "" "" 그러면서 아이폰 13 프로의 경우 가격이...",15시간 전
49,"애플 아이폰 13 시리즈 목업, 모형 사진 유출","공개된 아이폰13 시리즈 4개 모델 모드 기존 아이폰 12 시리즈와 동일한 화면 크기를 가지고 있는 것이 특징입니다. 특히, 5.4인치 아이폰 미니를 2022년 없 것이라고 전망했기 때문에 올 해 나올 아이폰13 미니가 실질적으로...",2021.07.12.
50,아이폰13(iPhone13) 시리즈 가격 및 사양 등,"중국인터넷에 아이폰13(iPhone13) 시리즈 가격 및 사양 등에 관한 기사가 있어 중국어공부 목적으로 번역하며, 원문은 아래의 링크에서 볼 수 있다. https://mbd.baidu.com/newspage/data/landingshare?context=%7B%22nid%22%3A...",3시간 전
51,"아이폰 13 카메라, 크기만큼 성능도 좋을까","[IT] 아이폰 13 카메라, 크기만큼 성능도 좋을까 글/사진 : 모반 인기가 많은 브랜드라 항상 관련 뉴스가... 아무튼 13 전 모델에 센서 시프트 이미지 안정화 기술이 적용되고. 프로와 맥스에는 와이드, 울트라 와이드, 망원...",6일 전
52,아이폰13 출시일 및 스펙 : 얼마나 기다려야 될까?,현재 아이폰 12 Pro를 사용중이기에 다음 기변역시 아이폰13을 기다리고 있었지만 현재 Z플립의 디자인에 푹 빠져있기 때문인데요. 쉽게 안드로이드로 넘어갈수는 없겠지만 그래도 꽤나 만족스러운 제품인건 사실입니다....,2021.08.23.
53,당신이 놓쳤을지도 모르는 아이폰13 / iPhone 13 루머 5가지,내장 빔포밍 마이크 현재 에어팟에만 들어있는 빔포밍 마이크를 아이폰13에 추가한다고 합니다. 빔포밍 마이크가 추가되면 아이폰의 마이크로폰 품질이 향상돼 더 나은 통화와 녹음을 제공할 것으로 보입니다. 이를 통해...,어제
54,아이폰13 출시일 스펙 어떻게 나올까요,"탄탄한 매니아층과 더불어 이제는 여러 대중들에게도 보편화된 아이폰이 13시리즈로 나오는데요. 저 또한 애플의 성애자로서 아이폰13 시리즈를 바로 사전예약 진행했는데요, 혹시나 기다리는 여러분들께 조금 더...",2021.08.22.
55,아이폰13 미니 디자인 유출? 커진 렌즈 대각선 배치,아이폰12 미니 아이폰13 미니라고 주장하는 사진 아이폰13 미니라고 주장하는 목업폰이 공개되면서 이런 디자인에 힘을 실어주고 있는 것을 볼 수 있습니다. 후면 카메라 배치만 제외하고 아이폰12 미니 디자인과 상당 부분...,2021.04.24.
56,아이폰13 출시일 스펙 좋고 가격 대 좋고!,>> 아이폰13 사전예약 바로 하러 가기 << 클릭 아이폰13 사전예약으로 이번에 이곳에서 한번해볼려고 여러분들에게 소개를합니다 그런데 중요한건 바로 이사이트에서 진행을 해보신다면 최고라고 해볼수있어요 그런점에서...,2021.08.23.
57,아이폰13 배터리 갈수록 커진다,"약 10% 정도 배터리 용량이 증가되서 3,095mAh 아이폰13 PRO MAX는 18% 가량 증가된 4,352mAh 아이폰12 미니는 8% 정도 증가된 2,406mAh 정도 예상 된다네요. 물론 아직까진 외신 예상이지만요 아래는 렌더링 이미지에요",2021.08.14.
58,"아이폰13PROMAX, 13이 붙은 게 잘못일까",처음에 아이폰12s라고 불렸을 때는 입에도 잘 달라붙고 괜찮다 싶었는데 결국 13으로 확정했다고 했을 땐 실망스럽더라고요 그래도 저는 아이폰13PROMAX에 고 주사율이 탑재된다는 이야기를 듣고 사전예약 알림 신청을...,4일 전
59,애플 역대급 아이폰13 예고,때문입니다 아이폰13 시리즈는 아이폰 역대 최고 기록인 9000만대 초기 생산 및 엄청난 물량을 수 개월 전부터 생산에 돌입할 정도로 이번 아이폰13에 자신감을 드러내고 있습니다 또한 TSMC가 이번에 아이폰 부품 20...,4일 전
60,애플 역대급 아이폰13 예고,때문입니다 아이폰13 시리즈는 아이폰 역대 최고 기록인 9000만대 초기 생산 및 엄청난 물량을 수 개월 전부터 생산에 돌입할 정도로 이번 아이폰13에 자신감을 드러내고 있습니다 또한 TSMC가 이번에 아이폰 부품 20...,4일 전
61,아이폰13 유출 말고 확실한 스펙 언제 뜨나,유출 대신 확실한 정보를 원해요 아이폰13 유출 엄청나게 많이 되고 있어서 이제 이게 확실한 건지 그냥... 출시설도 부정하게 되어버리는 것 같네요 그래도 아이폰13 유출 되면서 대충 어떻게 출시되겠다 정도는 알게...,4일 전
62,아이폰13 시리즈 배터리 개선?,때문에 아이폰13 시리즈는 아이폰12 시리즈 대비 배터리 타임이 늘어날 전망이래요 아이폰13 시리즈 모델별로 배터리 용량을 살펴보면 아이폰13과 아이폰13 프로는 3095mAh 아이폰13 미니와 아이폰13 프로 맥스는...,2021.08.05.
63,아이폰13 출시일 곧이에요 사전예약준비!,아이폰13 사전예약 하러 가기 << 이번에 아이폰13 사전예약을 하러 가야하는곳이있다면 바로 이곳을 추천드리고싶습니다 요즘에 아이폰13 출시일이 다가오니깐 많은분들이 사전예약을 할곳을 찾고 계시는데요 그중에 바로...,2021.08.20.
64,아이폰13프로맥스 목업 공개와 루머 정보,이번 아이폰13프로맥스 에서는 반드시 볼 수 있었으면 좋겠어요 후면의 렌즈는 13 기본 모델과 미니의... 아이폰13프로맥스의 예상 가격대는 저번 아이폰12와 별로 달라지는 부분이 없을 거예요 매번 비슷한 가격대에...,2021.07.05.
65,아이폰13 오는 9월17일 출시???,현재까지 유출된 정보를 종합하면 올해 출시될 '아이폰13' 시리즈의 외형은 전작인 '아이폰12'와 비교해 큰 변화가 없을 것으로 보이는데 카메라만큼은 크게 업그레이드 될 것으로 알려졌습니다. 고급형 '프로' 모델은...,5일 전
66,아이폰13 그린 색상에 반해버렸어,아이폰13 그린 색상에 반했다구 여러분들 혹시 오늘 기사 뜬 아이폰13 그린 색상 보셨나요? 공개된 색상이라고 하는데 진짜 너무 영롱하고 너무 예쁘지 않아요? 그 예쁜 디자인에 이기지 못하고 결국 아이폰13 그린...,2021.08.23.
67,아이폰13 혜택이 제일 괜찮은곳,아이폰13 작년에 아이폰12를 구매하려고 했는데 불량이나 기기가 없거나 해서 그냥 버티다가 이번에 아이폰13 사전예약을 해보려고 하는데 여기저기 둘러보니 혜택이 가장 좋은 곳이 있더라구요 보통 애플 제품은 외산...,4일 전
68,아이폰13 출시일 및 관련정보 체크,핸드폰의 운영체제도 독특하고 예쁜 디자인을 사용할 수 있는 좋은 핸드폰으로 사랑을 받고 있는 아이폰에 대한 내용을 알아보고자 해요. 제가 알아보고자 하는 것은 아이폰13에 대한 내용이에요. 새로운 라인업이...,어제
69,아이폰13 출시전 최종 루머 나왔네요..,아사모에서 방금 게시글 올라와서 봤는데 애플에서 이번 아이폰13 모델에 자신만만해하는 이유가 있었네요 기대가 큽니다 ㅋㅋㅋ https://cafe.naver.com/appleiphone/6805943,4일 전
70,아이폰 13 자급제 보다 추천하는 방법,이번 아이폰13 스펙이 꽤나 괜찮고 가격도 전 모델이랑 거의 별 차이가 없다는 정보가 많아서 그런지 제 주변에만해도 아이폰13으로 갈아타겠다는 사람들이 많더라구요 그중에서도 아이폰 13 자급제 이용한다는 사람들도...,2021.08.20.
71,아이폰13출시예정일..그건그렇고12s?,애플의 삼성 추격이 시작된것같네요. 그런데 신제품 코드명이 아이폰13이 아니고 s12라는 얘기가있다네요. 서구권에선 13일의 금요일처럼 13을 불길한 숫자로 생각해서 그렇다고.. ㅋㅋ 루머겠죠?,2021.08.13.
72,아이폰13 선셋골드 엄청 이쁘네요!!!!,아이폰 13의 출시가 한달 정도 남은 것 같은데요 어떤 모델 무슨 색상 살지 정하셨나요? 유출된 정보로는... 가격으로 아이폰 구매하세요 ㅎ 보조금 많이 지원해주는 성지 찾고싶다면 성지카페에서 시세표 확인은 필수 !!!...,5일 전
73,아이폰13 사전예약 핵심 정보만 모아봤습니다,게다가 기본 사은품에 추첨 이벤트로 엄청난 사은품까지 노려볼 수 있어서 벌써부터 아이폰13 사전예약이 기대되네요!! 사실 이번 신상 아이폰은 진짜 역대급이라 할 정도로 색상도 다양하고 스펙도 뛰어나잖아요ㅜ...,2021.08.18.
